Label,Latitude,Longitude
RPT001,6.5292112,124.5825541
RPT002,6.5230888,124.5827588
RPT003,6.5221825,124.5791179
RPT004,6.5109593,124.5792150
RPT005,6.5105934,124.5641090
RPT006,6.5035745,124.5628652
RPT007,6.5027056,124.5508982
RPT008,6.5125462,124.5347083
RPT009,6.5356936,124.5405742
RPT010,6.5508684,124.5775030
RPT011,6.5295223,124.5787994
