Label,Latitude,Longitude,brgy
RPT001,6.5990863,124.582223,2
RPT002,6.588852,124.5849464,2
RPT003,6.5837355,124.5861112,2
RPT004,6.5788724,124.5900326,2
RPT005,6.5766723,124.5911631,2
RPT006,6.5716547,124.5810462,2
RPT007,6.5804237,124.573264,2
RPT008,6.5973922,124.5665027,2
RPT009,6.6002192,124.5610544,2
RPT010,6.6037454,124.5695368,2
RPT011,6.6391694,124.5730935,2
RPT012,6.6296691,124.5810607,2
RPT013,6.6231582,124.5837367,2
RPT014,6.6093076,124.5835679,2
